2081	703	2012-12-04	20:24:15	5922618
2082	703	2012-12-04	20:24:16	5923747
2083	703	2012-12-04	20:24:17	5924875
2084	702	2012-12-04	20:24:18	10406562
2089	703	2012-12-04	20:24:18	5926002
2085	702	2012-12-04	20:24:19	10407586
2090	703	2012-12-04	20:24:19	5927130
2086	702	2012-12-04	20:24:20	10408610
2091	703	2012-12-04	20:24:20	5928259
2087	702	2012-12-04	20:24:21	10409634
2088	702	2012-12-04	20:24:22	10410658
2092	702	2012-12-04	20:24:23	10412006
2093	702	2012-12-04	20:24:24	10413030
2094	702	2012-12-04	20:24:25	10414054
2095	702	2012-12-04	20:24:26	10415078
2096	702	2012-12-04	20:24:27	10416102
