16903	703	2012-12-06	21:15:08	1475968
16904	703	2012-12-06	21:15:09	1477096
16905	702	2012-12-06	21:15:10	1250902
16910	703	2012-12-06	21:15:10	1478226
16906	702	2012-12-06	21:15:11	1251926
16911	703	2012-12-06	21:15:11	1479355
16907	702	2012-12-06	21:15:12	1252950
16912	703	2012-12-06	21:15:12	1480483
16908	702	2012-12-06	21:15:13	1253974
16909	702	2012-12-06	21:15:14	1254998
16913	702	2012-12-06	21:15:16	1256447
16914	702	2012-12-06	21:15:17	1257471
16915	702	2012-12-06	21:15:18	1258495
16916	702	2012-12-06	21:15:19	1259519
16917	702	2012-12-06	21:15:20	1260543
16918	702	2012-12-06	21:15:21	1261755
16919	702	2012-12-06	21:15:22	1262779
16920	702	2012-12-06	21:15:23	1263803
16921	702	2012-12-06	21:15:24	1264827
16922	702	2012-12-06	21:15:25	1265851
16923	702	2012-12-06	21:15:27	1267629
16924	702	2012-12-06	21:15:28	1268653
16925	702	2012-12-06	21:15:29	1269677
16926	702	2012-12-06	21:15:30	1270701
16927	702	2012-12-06	21:15:31	1271725
16928	702	2012-12-06	21:15:46	1287805
16929	702	2012-12-06	21:15:47	1288829
16930	702	2012-12-06	21:15:48	1289853
16931	702	2012-12-06	21:15:49	1290877
16932	702	2012-12-06	21:15:50	1291901
16933	702	2012-12-06	21:15:52	1293255
16934	702	2012-12-06	21:15:53	1294279
16935	702	2012-12-06	21:15:54	1295303
16936	702	2012-12-06	21:15:55	1296327
16937	702	2012-12-06	21:15:56	1297351
16938	702	2012-12-06	21:15:57	1298363
16939	702	2012-12-06	21:15:58	1299387
16940	702	2012-12-06	21:15:59	1300411
16941	702	2012-12-06	21:16:00	1301435
16942	702	2012-12-06	21:16:01	1302459
16943	702	2012-12-06	21:16:19	1320850
16944	702	2012-12-06	21:16:20	1321874
16945	702	2012-12-06	21:16:21	1322898
16946	702	2012-12-06	21:16:22	1323922
16947	702	2012-12-06	21:16:23	1324946
16948	702	2012-12-06	21:16:24	1326779
16949	702	2012-12-06	21:16:25	1327803
16950	702	2012-12-06	21:16:26	1328827
16951	702	2012-12-06	21:16:27	1329851
16953	703	2012-12-06	21:16:27	1556810
16952	702	2012-12-06	21:16:28	1330875
16954	703	2012-12-06	21:16:28	1557940
16955	703	2012-12-06	21:16:29	1559066
16956	702	2012-12-06	21:16:30	1332639
16961	703	2012-12-06	21:16:30	1560193
16957	702	2012-12-06	21:16:31	1333663
16962	703	2012-12-06	21:16:31	1561319
16958	702	2012-12-06	21:16:32	1334687
16959	702	2012-12-06	21:16:33	1335711
16960	702	2012-12-06	21:16:34	1336735
